index,category,heuristic_correct,is_canary
3,"Teeth,HisT",False,False
9,Jaw,False,False
11,Teeth,False,False
17,"Teeth,Patho",False,True
18,"Teeth,HisT",True,False
19,"Teeth,HisT",False,True
20,"Teeth,Patho",False,True
23,"Teeth,HisT",True,True
24,"Teeth,Patho",False,True
25,Jaw,False,False
36,Teeth,False,False
37,"Patho,Jaw",False,False
39,Teeth,True,False
41,HisT,False,False
47,Teeth,False,False
48,Jaw,False,False
51,Jaw,True,False
55,"Teeth,Patho,SumRec",False,True
56,"Teeth,Jaw",False,False
59,Teeth,True,True
60,"Teeth,Patho",False,True
61,Jaw,False,False
65,"Patho,Jaw",True,False
72,"Patho,Jaw",False,False
74,Teeth,False,False
78,"Teeth,HisT",False,True
80,Jaw,True,False
85,HisT,False,False
86,HisT,False,False
93,Teeth,False,False
94,Teeth,True,True
102,"Teeth,Patho",False,False
109,"HisT,Jaw",True,False
110,Jaw,False,False
115,"Teeth,HisT",False,True
119,Jaw,False,False
120,"Teeth,SumRec",False,False
125,Jaw,False,False
129,"Patho,SumRec",True,False
132,Teeth,False,False
134,Jaw,False,False
143,"HisT,Jaw",False,False
145,"Teeth,Patho",True,True
147,"HisT,Jaw",False,False
149,Jaw,False,False
151,"Teeth,HisT",False,False
154,"Teeth,Patho",False,False
162,"Teeth,Jaw",False,False
164,Jaw,False,False
166,"HisT,Jaw",False,False
171,"Teeth,HisT",False,False
178,Teeth,False,False
184,Jaw,False,False
185,"Teeth,Patho",False,False
187,"Teeth,Patho",False,False
195,Teeth,False,False
199,"Teeth,HisT",False,True
200,Jaw,False,False
211,"Teeth,Patho",False,True
219,HisT,True,False
220,Jaw,False,False
223,Teeth,False,False
225,"HisT,Jaw",True,False
226,"Teeth,Patho",False,False
234,Teeth,False,True
236,"HisT,Jaw",True,False
240,"Patho,Jaw",False,False
247,Teeth,True,True
248,Teeth,False,False
251,Teeth,False,False
262,"HisT,Jaw",True,False
267,"Patho,Jaw",False,False
271,"Teeth,Patho",False,False
274,HisT,False,False
279,"Teeth,HisT",True,True
288,HisT,False,False
294,"Teeth,Patho",False,True
295,"Teeth,HisT",True,True
296,"Patho,Jaw",False,False
300,"Teeth,Patho",True,True
302,Jaw,True,False
319,Teeth,False,True
321,"Teeth,Patho",False,False
322,Jaw,False,False
323,Teeth,True,False
327,Jaw,True,False
329,Jaw,False,False
331,Jaw,False,False
334,"Teeth,HisT",False,False
335,"Teeth,HisT",True,True
336,Jaw,False,False
338,Jaw,True,False
339,Jaw,True,False
342,Jaw,False,False
346,"Teeth,HisT",False,True
349,Jaw,False,False
354,"Teeth,HisT",False,False
356,"Teeth,Patho",False,False
358,"Teeth,HisT",False,False
359,Jaw,False,False
360,Jaw,False,False
361,Teeth,False,False
365,Teeth,False,True
366,"HisT,Jaw",True,False
373,"HisT,Jaw",False,False
382,"Teeth,Patho",False,True
386,Jaw,False,False
388,"Teeth,Patho",False,True
389,"Teeth,Patho",False,False
393,Jaw,False,False
400,Teeth,True,True
405,Teeth,False,False
413,"Teeth,Patho",False,True
415,"Patho,Jaw",False,False
420,Teeth,True,True
421,Teeth,False,False
425,Jaw,True,False
427,"HisT,Jaw",True,False
430,"Teeth,SumRec",False,False
431,Teeth,False,False
439,Jaw,False,False
441,Teeth,False,True
455,"Teeth,HisT",False,False
456,Jaw,False,False
459,Jaw,False,False
464,Teeth,False,False
469,"Patho,Jaw",False,False
472,"Teeth,Patho",False,True
478,Teeth,False,False
484,Jaw,False,False
