img,teeth,isloc,plain,ov
016690,True,True,0.0,1.0
016690,True,False,0.0,1.0
016690,True,False,0.6,1.0
016690,False,False,0.9,0.9
016690,False,False,0.6,0.3
016690,False,False,0.2,0.6
016713,True,False,0.3,0.6
016713,True,True,0.3,0.6
016713,False,False,0.6,0.0
016713,True,True,1.0,1.0
016713,False,False,0.7,0.7
016713,False,False,0.0,0.3
016726,True,False,0.9,0.0
016726,True,True,0.2,0.0
016726,False,False,0.0,0.0
016726,True,False,0.0,0.0
016726,False,False,0.3,0.3
016655,True,False,0.0,1.0
016655,True,False,0.0,0.9
016655,False,False,0.0,0.7
016655,True,True,0.0,0.0
016655,True,False,0.0,0.7
016655,False,False,0.3,0.6
